seq_6941_11,seq_2585_2,seq_10967_12,seq_12715_30,seq_14254_27,seq_18821_9,seq_5478_50,seq_10663_42,seq_3204_2,seq_6918_183,seq_21526_88,seq_18859_7,seq_10562_42,seq_15640_54,seq_11105_171,seq_19496_1,seq_3434_34,seq_14337_1,seq_12387_7,seq_5661_15,seq_4982_54,seq_24707_6,seq_18382_109,seq_21153_5,seq_14023_84,seq_19347_37,seq_20161_41,seq_6342_10,seq_23371_5,seq_4542_24,seq_21961_14,seq_21477_105,seq_12549_33,seq_12684_5,seq_5701_81,seq_16892_23,seq_5009_11,seq_5601_2,seq_25452_16,seq_9366_54,seq_25501_128,seq_17761_2,seq_4131_72,seq_20187_10,seq_6334_9,seq_16074_12,seq_6225_3,seq_7215_18,seq_5011_11,seq_4891_50
2595.5,11080.3,3236.2,1310.4,2036.6,8226.0,242.0,338.7,7925.2,882.8,606.0,142.2,386.9,2658.3,190071.1,1564.5,30276.5,964.8,1627.6,540.8,4014.9,1341.6,1090.5,53783.7,1487.5,288.1,36349.0,3531.6,14220.8,15625.9,1438.0,975.7,2412.4,3083.9,7069.3,2430.7,702.7,35215.3,209.6,812.7,1350.5,2642.2,125355.1,3354.7,871.3,1806.3,2881.5,2641.0,2033.0,1023.1
1150.3,3409.6,1687.0,943.7,2793.6,15254.6,134.3,415.7,3117.3,829.4,825.9,157.2,336.5,2461.5,71642.9,1402.5,7525.3,1007.6,752.4,480.2,5646.1,1178.7,1174.2,27130.9,1770.7,313.7,31001.5,1296.3,17895.2,18020.6,961.0,847.1,4690.7,3305.1,7395.4,3462.1,698.0,34637.4,228.5,754.9,1767.0,2307.8,33512.8,3795.3,740.3,1500.2,2995.0,2238.1,1664.5,2572.6
1383.1,3023.5,1437.4,1065.5,1756.2,8731.7,417.3,293.5,8804.3,1596.4,909.6,149.2,470.7,2025.8,24047.5,1452.0,5515.9,1137.7,584.7,983.1,5259.8,633.1,1135.4,12757.1,1601.7,901.2,40031.4,1125.5,23331.9,18415.6,707.6,1035.8,3182.6,3577.3,7164.8,1638.9,642.3,29992.4,243.9,1009.5,1732.1,2221.1,23900.5,3093.6,1047.8,1368.0,3054.5,2804.9,1404.6,2050.3
1442.6,6511.1,1994.8,426.3,1923.5,17087.0,147.4,356.1,10455.3,1217.9,1485.9,174.5,486.7,3083.5,28606.3,1590.6,7310.9,1055.5,413.7,601.6,3986.0,290.7,1300.1,5069.9,1814.0,310.2,48256.2,1410.7,29697.7,22601.2,611.6,1089.6,4798.7,3623.7,7221.6,1954.5,600.4,35239.1,260.9,886.9,1594.4,1621.9,31337.2,4524.8,653.3,1305.1,3081.4,3492.2,2980.3,1137.6
1651.1,5993.7,1686.1,395.2,1681.1,7390.7,295.7,316.5,12614.5,1806.9,730.1,181.5,429.2,2445.5,27005.0,1590.9,7010.6,1005.3,859.8,664.0,4494.3,468.0,916.3,8788.7,1740.4,316.9,40162.2,1311.1,16520.1,17297.9,582.5,1190.9,4100.5,3481.7,7026.4,1588.4,651.1,33426.9,229.6,890.5,28948.9,1989.9,28388.2,4901.1,716.5,1086.4,3418.2,6376.7,2873.4,2713.0
1245.3,7108.1,2203.9,212.4,1591.1,7029.5,237.4,257.9,8238.9,1154.6,953.0,164.4,813.1,2463.0,50723.4,1332.6,7922.2,1102.3,446.3,860.8,6567.8,376.7,1161.2,20785.5,1845.0,232.3,39672.3,1296.2,17972.6,17046.6,1155.0,2092.5,2342.4,3289.9,6105.0,857.7,1172.6,31895.0,242.1,1049.8,1473.7,2445.5,36021.2,2341.1,803.0,2983.9,3168.1,2167.3,3391.6,1234.7
1789.1,8499.8,2724.5,259.4,1686.8,15863.6,135.0,303.7,4148.6,2094.1,453.2,153.7,380.6,3917.9,29897.4,1586.0,9488.6,999.5,417.4,648.2,3999.0,302.7,791.3,6758.1,1717.8,306.7,44802.9,1838.0,19698.1,19384.2,723.5,1125.6,3591.8,3088.1,6349.9,3019.9,787.4,26329.5,218.7,993.7,1739.8,2411.1,38662.8,5402.2,1243.1,1665.7,3522.9,4639.9,1786.4,2880.9
1304.3,8029.9,2562.8,187.8,1501.4,3645.2,409.9,307.9,10966.2,1035.8,859.6,150.5,530.6,2295.7,31593.0,1306.9,6414.9,1302.6,617.6,776.1,5938.7,337.9,1154.7,12221.7,1814.4,242.5,37505.2,1195.9,17619.0,16563.5,645.5,1102.6,4526.8,3857.9,6949.9,1229.5,587.7,33118.1,182.5,1009.0,1570.4,2205.2,26125.8,4222.0,1701.0,1096.9,3531.9,4725.3,1883.8,1717.4
1356.1,12048.5,3159.9,2159.5,2321.7,22288.0,191.5,349.2,13055.9,1186.6,1227.3,166.4,618.1,2653.2,19061.0,1763.1,6238.0,999.3,486.4,852.1,7036.5,254.9,1036.3,3047.2,1885.6,258.2,45659.5,1093.6,31891.2,19700.3,586.7,1346.2,2377.3,3559.1,7759.1,1166.8,807.6,33246.3,233.8,1217.7,1665.5,1784.7,24577.7,3798.9,951.8,1573.6,3001.6,1724.5,3231.6,2736.5
2048.7,4230.3,1540.7,1110.8,2519.3,14810.7,184.2,473.6,7017.3,1110.1,1674.4,155.8,641.1,1478.7,38608.6,1357.7,12220.2,1214.5,421.1,526.1,3687.0,399.0,1129.5,5619.8,4664.7,266.2,27914.9,1497.1,10344.6,15698.9,890.6,1001.3,2528.0,3804.1,5277.3,1839.4,692.3,26321.9,235.3,927.5,1860.2,1507.5,53724.7,3957.1,1186.2,1428.8,3574.0,1486.7,3868.9,2371.3
1523.9,10001.9,2873.3,409.2,2209.8,7765.1,176.9,332.7,3097.7,1095.9,522.3,207.4,358.2,3474.7,24512.7,1213.7,6216.1,1075.9,633.7,687.8,7872.8,1644.2,1160.5,31001.2,1628.6,274.2,40196.9,975.6,4466.1,18061.2,1124.0,1005.4,2377.6,2866.4,6830.6,1929.2,809.7,27219.7,275.3,963.1,2661.6,2193.5,23894.4,2458.4,1080.5,1570.1,3450.9,3360.9,1301.1,1786.9
1595.8,3959.5,1399.1,1403.7,1910.2,12038.2,856.5,650.3,7500.2,1041.1,1243.0,176.5,643.7,2129.1,28854.1,1416.4,6048.0,1280.1,561.6,735.2,4843.8,376.8,1311.0,11738.9,1877.6,311.9,38836.3,1079.3,19618.2,17475.5,718.9,1700.6,3237.6,3799.8,7124.7,2038.2,670.0,34488.3,222.7,982.0,1615.8,2048.4,24608.0,4124.1,1465.8,1229.7,3467.1,2288.5,2330.3,1398.1
978.9,6028.0,3226.6,295.4,1967.3,14541.0,118.9,272.9,3998.4,1437.1,1038.6,144.0,438.5,2767.9,74790.9,1490.8,5783.5,1053.2,435.5,736.7,4566.8,819.2,1066.1,32669.7,1256.1,273.8,40043.9,934.3,13796.1,21826.2,767.1,1018.2,2179.2,3251.9,7897.1,3287.1,744.4,35634.4,217.2,819.0,1865.2,2124.3,24089.6,3945.8,997.3,1580.2,3572.8,2317.1,1711.7,2253.7
